id,school_name,school_address,school_type,school_url,school_area
1,1+1幼儿园,"","","",ningxia
2,123音乐培训中心,"","","",ningxia
3,21世纪教育培训学校,"","","",ningxia
4,21世纪英语培训中心,"","","",ningxia
5,e佰分英语培训中心,"","","",ningxia
6,M.rli优美英语学校,"","","",ningxia
7,一品尚都中心幼儿园,"","","",ningxia
8,丁岗堡小学,"","","",ningxia
9,七彩凌云艺术学校,"","","",ningxia
10,七彩幼儿园,"","","",ningxia
11,七彩燕艺术学校,"","","",ningxia
12,七彩艺术培训中心,"","","",ningxia
13,七彩艺术学校,"","","",ningxia
14,七彩艺校吴忠分校,"","","",ningxia
15,七彩艺校贺兰县分校,"","","",ningxia
16,七彩豆豆艺术培训学校,"","","",ningxia
17,七百户小学,"","","",ningxia
18,七色笔培训中心,"","","",ningxia
19,七色花幼儿园,"","","",ningxia
20,三岔小学,"","","",ningxia
